rec_id,category,title,text,tags,expert_weight,safety_level,advice_strength
R081,lifestyle,Acne-support: Stress downshift practice,"Use a short daily stress-downshift (breathing, walk, journaling) to reduce flare triggers. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|stress_support|routine,0.83,safe,strong
R082,lifestyle,Acne-support: Sweat management habit,"After heavy sweating, change into dry clothing and cleanse gently to reduce irritation and fungal risk. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|moisture_control,0.83,safe,strong
R083,lifestyle,Acne-support: Trigger journal,"Track stress, weather, products, and foods during flares to find repeatable triggers. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|tracking|trigger_tracking,0.83,safe,strong
R084,lifestyle,Acne-support: Sun-smart routine,"Use shade, hats, and consistent sun protection habits to reduce redness and pigmentation worsening. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|sun_protection|routine,0.83,safe,strong
R085,lifestyle,Acne-support: Friction reduction,"Reduce friction from tight clothing and rough fabrics; friction can amplify irritation and redness. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|friction_reduction|gentle_care,0.83,safe,strong
R086,lifestyle,Acne-support: Humidity and ventilation,"Keep living spaces ventilated; humidity control can help reduce fungal and irritation triggers. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|home_environment|moisture_control,0.83,safe,strong
R087,home_care,Acne-support: Gentle cleansing rule,"Cleanse with mild, fragrance-free products; avoid harsh scrubbing that damages the barrier. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|gentle_cleansing|barrier_repair,0.9,safe,strong
R088,home_care,Acne-support: Moisturize strategically,"Moisturize soon after bathing to lock in water and support barrier recovery. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|barrier_repair|hydration,0.9,safe,strong
R089,home_care,Acne-support: Short lukewarm showers,"Prefer short lukewarm showers over long hot ones to reduce dryness and irritation. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|barrier_repair|gentle_care,0.9,safe,strong
R090,home_care,Acne-support: Patch-test new products,"Test new skincare on a small area before full use to reduce contact reactions. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|patch_testing|irritant_avoidance,0.9,caution,strong
R091,home_care,Acne-support: Nail and scratch control,"Keep nails short and use distractions to reduce scratching that worsens barrier injury. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|itching_control|barrier_repair,0.9,safe,strong
R092,home_care,Acne-support: Clean textiles routine,"Wash towels and pillowcases regularly; clean textiles can reduce irritation and recurrence cycles. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|routine,0.9,safe,strong
R093,home_care,Acne-support: Breathable fabric choice,"Use breathable fabrics and avoid prolonged dampness in folds to reduce fungal recurrence risk. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|breathable_clothing|moisture_control,0.9,safe,strong
R094,home_care,Acne-support: Cool compress (brief),"Use a brief cool compress for heat/itch sensations; avoid prolonged cold exposure. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|cooling|comfort_support,0.9,safe,strong
R095,diet,Psoriasis-support: Hydration-first plate,"Prioritize water-rich foods and regular fluids; dehydration can worsen skin discomfort. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|hydration,0.84,safe,moderate
R096,diet,Psoriasis-support: Balanced low-spike meals,"Choose balanced meals and reduce frequent high-sugar spikes to support overall skin stability. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|balanced_meals|glycemic_support,0.84,safe,moderate
R097,diet,Psoriasis-support: Gentle gut-friendly routine,"Keep meal timing consistent and include fiber-rich foods to support digestion-related skin flares. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|digestion_support,0.84,safe,moderate
R098,diet,Psoriasis-support: Cooling foods when heat is high,"When redness/heat sensations are present, prefer mild cooling foods and avoid very spicy choices. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|cooling|heat_support,0.84,safe,moderate
R099,diet,Psoriasis-support: Reduce ultra-processed triggers,"Limit ultra-processed foods that often correlate with flare cycles; observe your personal triggers. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|trigger_avoidance|tracking,0.84,safe,moderate
R100,diet,Psoriasis-support: Healthy fats for barrier support,"Include moderate healthy fats (as tolerated) to support the skin barrier and dryness control. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|barrier_repair|nutrition,0.84,safe,strong
R101,diet,Psoriasis-support: Mindful dairy check (individualized),"If you suspect dairy aggravates your skin, trial a short, monitored reduction and track changes. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|trigger_tracking|individualized,0.84,caution,moderate
R102,lifestyle,Psoriasis-support: Consistent sleep window,"Aim for a consistent sleep schedule; irregular sleep can worsen itch, stress, and inflammation. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|sleep,0.83,safe,moderate
R103,lifestyle,Psoriasis-support: Stress downshift practice,"Use a short daily stress-downshift (breathing, walk, journaling) to reduce flare triggers. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|stress_support,0.83,safe,moderate
R104,lifestyle,Psoriasis-support: Sweat management habit,"After heavy sweating, change into dry clothing and cleanse gently to reduce irritation and fungal risk. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|hygiene|moisture_control,0.83,safe,strong
R105,lifestyle,Psoriasis-support: Trigger journal,"Track stress, weather, products, and foods during flares to find repeatable triggers. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|tracking|trigger_tracking,0.83,safe,moderate
R106,lifestyle,Psoriasis-support: Sun-smart routine,"Use shade, hats, and consistent sun protection habits to reduce redness and pigmentation worsening. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|sun_protection,0.83,safe,strong
R107,lifestyle,Psoriasis-support: Friction reduction,"Reduce friction from tight clothing and rough fabrics; friction can amplify irritation and redness. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|friction_reduction,0.83,safe,moderate
R108,lifestyle,Psoriasis-support: Humidity and ventilation,"Keep living spaces ventilated; humidity control can help reduce fungal and irritation triggers. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|home_environment|moisture_control,0.83,safe,moderate
R109,home_care,Psoriasis-support: Gentle cleansing rule,"Cleanse with mild, fragrance-free products; avoid harsh scrubbing that damages the barrier. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|gentle_cleansing|barrier_repair,0.9,safe,strong
R110,home_care,Psoriasis-support: Moisturize strategically,"Moisturize soon after bathing to lock in water and support barrier recovery. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|barrier_repair|hydration,0.9,safe,strong
R111,home_care,Psoriasis-support: Short lukewarm showers,"Prefer short lukewarm showers over long hot ones to reduce dryness and irritation. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|barrier_repair,0.9,safe,strong
R112,home_care,Psoriasis-support: Patch-test new products,"Test new skincare on a small area before full use to reduce contact reactions. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|patch_testing|irritant_avoidance,0.9,caution,moderate
R113,home_care,Psoriasis-support: Nail and scratch control,"Keep nails short and use distractions to reduce scratching that worsens barrier injury. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|itching_control|barrier_repair,0.9,safe,strong
R114,home_care,Psoriasis-support: Clean textiles routine,"Wash towels and pillowcases regularly; clean textiles can reduce irritation and recurrence cycles. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|hygiene,0.9,safe,strong
R115,home_care,Psoriasis-support: Breathable fabric choice,"Use breathable fabrics and avoid prolonged dampness in folds to reduce fungal recurrence risk. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|breathable_clothing|moisture_control,0.9,safe,moderate
R116,home_care,Psoriasis-support: Cool compress (brief),"Use a brief cool compress for heat/itch sensations; avoid prolonged cold exposure. For scaling plaques, be extra gentle and avoid aggressive scrubbing.",psoriasis|scaling|inflammation|gentle_care|routine|psoriasis_support|cooling|comfort_support,0.9,safe,moderate
R117,diet,Fungal-support: Hydration-first plate,"Prioritize water-rich foods and regular fluids; dehydration can worsen skin discomfort. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|hydration|routine,0.84,safe,strong
R118,diet,Fungal-support: Balanced low-spike meals,"Choose balanced meals and reduce frequent high-sugar spikes to support overall skin stability. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|balanced_meals|glycemic_support,0.84,safe,strong
R119,diet,Fungal-support: Gentle gut-friendly routine,"Keep meal timing consistent and include fiber-rich foods to support digestion-related skin flares. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|routine|digestion_support,0.84,safe,strong
R120,diet,Fungal-support: Cooling foods when heat is high,"When redness/heat sensations are present, prefer mild cooling foods and avoid very spicy choices. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|cooling|heat_support,0.84,safe,strong
R121,diet,Fungal-support: Reduce ultra-processed triggers,"Limit ultra-processed foods that often correlate with flare cycles; observe your personal triggers. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|trigger_avoidance|tracking,0.84,safe,strong
R122,diet,Fungal-support: Healthy fats for barrier support,"Include moderate healthy fats (as tolerated) to support the skin barrier and dryness control. For fungal-prone areas, prioritize dryness, ventilation, and sweat control habits.",fungal_infection|hygiene|moisture_control|breathable_clothing|fungal_support|barrier_repair|nutrition,0.84,safe,strong
